MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
Gladiator II,ACTION,6.5,243000.0,148
Dune: Part Two,ACTION,8.5,634000.0,166
Kraven the Hunter,ACTION,5.5,60000.0,127
Twisters,ACTION,6.5,173000.0,122
Venom: The Last Dance,ACTION,6.0,124000.0,110
Deadpool & Wolverine,ACTION,7.5,501000.0,128
The Ministry of Ungentlemanly Warfare,ACTION,6.8,137000.0,122
Fight or Flight,ACTION,6.4,13000.0,102
Civil War,ACTION,7.0,241000.0,109
Sonic the Hedgehog 3,ACTION,6.9,63000.0,110
The Beekeeper,ACTION,6.3,159000.0,105
Freaky Tales,ACTION,6.3,6100.0,107
Furiosa: A Mad Max Saga,ACTION,7.5,289000.0,148
The Fall Guy,ACTION,6.8,224000.0,126
The Count of Monte-Cristo,ACTION,7.6,36000.0,178
Carry-On,ACTION,6.5,169000.0,119
Road House,ACTION,6.2,169000.0,121
Arcadian,ACTION,5.5,24000.0,92
Madame Web,ACTION,4.0,102000.0,116
Borderlands,ACTION,4.7,50000.0,101
Love Lies Bleeding,ACTION,6.6,58000.0,104
Rebel Ridge,ACTION,6.8,90000.0,131
Transformers One,ACTION,7.6,53000.0,104
Homestead,ACTION,5.3,4000.0,112
Drive-Away Dolls,ACTION,5.4,24000.0,84
Godzilla x Kong: The New Empire,ACTION,6.0,123000.0,115
Bad Boys: Ride or Die,ACTION,6.5,101000.0,115
The Crow,ACTION,4.7,36000.0,111
Argylle,ACTION,5.6,93000.0,139
Kingdom of the Planet of the Apes,ACTION,6.9,154000.0,145
The Lord of the Rings: The War of the Rohirrim,ACTION,6.3,32000.0,134
Elevation,ACTION,5.6,23000.0,91
Red One,ACTION,6.3,141000.0,123
Kung Fu Panda 4,ACTION,6.3,69000.0,94
Monkey Man,ACTION,6.8,93000.0,121
Damsel,ACTION,6.1,110000.0,110
The Killer's Game,ACTION,5.8,18000.0,104
Azrael,ACTION,5.4,12000.0,86
The Instigators,ACTION,6.2,38000.0,101
The Union,ACTION,5.4,54000.0,107
Land of Bad,ACTION,6.6,52000.0,113
Uglies,ACTION,4.7,33000.0,100
Maharaja,ACTION,8.4,69000.0,141
Pushpa: The Rule - Part 2,ACTION,6.1,57000.0,201
Thelma,ACTION,7.0,24000.0,98
Blitz,ACTION,6.2,17000.0,120
The Silent Hour,ACTION,6.1,8100.0,99
Fighter,ACTION,6.2,52000.0,166
Apocalypse Z: The Beginning of the End,ACTION,6.1,20000.0,117
Hellboy: The Crooked Man,ACTION,4.5,14000.0,99
Dirty Angels,ACTION,4.4,3700.0,104
Werewolves,ACTION,4.4,7300.0,93
Attack on Titan the Movie: The Last Attack,ACTION,9.2,17000.0,145
Beverly Hills Cop: Axel F,ACTION,6.4,82000.0,118
William Tell,ACTION,5.7,2800.0,133
Lift,ACTION,5.5,50000.0,107
The Killer,ACTION,5.7,13000.0,126
Atlas,ACTION,5.6,56000.0,118
Old Guy,ACTION,5.2,2700.0,94
