MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
The Order,CRIME,6.8,48000.0,116
Trap,CRIME,5.8,143000.0,105
Longlegs,CRIME,6.6,190000.0,101
Juror #2,CRIME,7.0,102000.0,114
The Beekeeper,CRIME,6.3,159000.0,105
Freaky Tales,CRIME,6.3,6100.0,107
Wolfs,CRIME,6.5,86000.0,108
Carry-On,CRIME,6.5,169000.0,119
MaXXXine,CRIME,6.2,72000.0,103
The Seed of the Sacred Fig,CRIME,7.6,15000.0,167
Love Lies Bleeding,CRIME,6.6,58000.0,104
Rebel Ridge,CRIME,6.8,90000.0,131
Emilia Pérez,CRIME,5.4,90000.0,132
Lucky Baskhar,CRIME,8.0,33000.0,148
Despicable Me 4,CRIME,6.2,67000.0,94
Bad Boys: Ride or Die,CRIME,6.5,101000.0,115
The Crow,CRIME,4.7,36000.0,111
Monkey Man,CRIME,6.8,93000.0,121
Riff Raff,CRIME,5.7,3600.0,103
The Instigators,CRIME,6.2,38000.0,101
The Girl with the Needle,CRIME,7.5,15000.0,123
Maharaja,CRIME,8.4,69000.0,141
Pushpa: The Rule - Part 2,CRIME,6.1,57000.0,201
The Silent Hour,CRIME,6.1,8100.0,99
Ainsley McGregor Mysteries: A Case for the Winemaker,CRIME,6.4,408.0,86
Greedy People,CRIME,6.2,12000.0,112
Sleeping Dogs,CRIME,6.2,22000.0,110
Beating Hearts,CRIME,7.0,5600.0,166
Beverly Hills Cop: Axel F,CRIME,6.4,82000.0,118
Dead Mail,CRIME,6.0,1700.0,106
Lift,CRIME,5.5,50000.0,107
Long Gone Heroes,CRIME,5.1,1200.0,101
The Thicket,CRIME,5.8,3300.0,108
Absolution,CRIME,5.2,8500.0,112
Twilight of the Warriors: Walled In,CRIME,7.0,10000.0,126
Brothers,CRIME,5.4,13000.0,89
The Quiet Ones,CRIME,6.2,808.0,110
Saripodhaa Sanivaaram,CRIME,7.0,9600.0,166
Lake George,CRIME,6.4,1400.0,118
The Shadow Strays,CRIME,6.5,9500.0,144
Damaged,CRIME,4.7,7500.0,97
Armor,CRIME,3.6,4300.0,89
Trigger Warning,CRIME,4.6,20000.0,106
The Shameless,CRIME,5.9,287.0,114
Misericordia,CRIME,6.8,2300.0,104
Do Patti,CRIME,6.4,69000.0,126
In Her Place,CRIME,6.2,3500.0,96
Boneyard,CRIME,4.1,5100.0,96
Force of Nature: The Dry 2,CRIME,5.8,7400.0,120
Killer Heat,CRIME,5.6,14000.0,95
Blackwater Lane,CRIME,4.6,2200.0,108
Santosh,CRIME,7.1,2300.0,128
Sikandar Ka Muqaddar,CRIME,6.0,25000.0,142
The Menendez Brothers,CRIME,7.0,9500.0,119
Baby John,CRIME,5.2,17000.0,159
Marco,CRIME,6.8,22000.0,145
Harbin,CRIME,6.2,875.0,108
How to Make a Killing,CRIME,6.5,1200.0,109
First Shift,CRIME,4.5,2100.0,89
Barron's Cove,CRIME,8.6,44.0,116
Detained,CRIME,4.9,1700.0,97
The Calendar Killer,CRIME,5.4,4300.0,97
Sector 36,CRIME,7.1,25000.0,123
Maldoror,CRIME,6.9,817.0,155
Dead Sea,CRIME,5.2,5400.0,88
Duchess,CRIME,4.6,1500.0,114
One of Those Days When Hemme Dies,CRIME,6.4,462.0,83
Inside,CRIME,7.1,263.0,104
The Clean Up Crew,CRIME,4.2,1200.0,95
Officer Black Belt,CRIME,6.9,8500.0,108
The Soul Eater,CRIME,5.8,2800.0,108
Hitpig,CRIME,5.1,1000.0,86
The Roundup: Punishment,CRIME,6.6,5500.0,109
Jigra,CRIME,6.0,24000.0,153
Golam,CRIME,7.2,5800.0,120
Singham Again,CRIME,4.7,75000.0,144
Depravity,CRIME,4.3,1100.0,117
The Kingdom,CRIME,6.9,980.0,112
Badland Hunters,CRIME,5.9,12000.0,107
Pani,CRIME,6.9,3200.0,143
Justice,CRIME,6.3,4000.0,113
Toofan,CRIME,7.4,8400.0,145
Megamind vs. The Doom Syndicate,CRIME,2.5,5600.0,83
Thalavan,CRIME,7.2,4900.0,131
"I, the Executioner",CRIME,6.3,1900.0,118
Colors of Evil: Red,CRIME,6.4,8600.0,111
To a Land Unknown,CRIME,7.3,546.0,105
Anweshippin Kandethum,CRIME,7.4,10000.0,142
Code 8: Part II,CRIME,5.7,16000.0,100
Bougainvillea,CRIME,6.4,3300.0,138
Hijack 1971,CRIME,6.8,3400.0,100
Lover Stalker Killer,CRIME,7.0,14000.0,90
The Courier,CRIME,6.0,4500.0,101
Trouble,CRIME,6.2,7000.0,98
What Jennifer Did,CRIME,6.1,11000.0,87
Darkness of Man,CRIME,4.7,3300.0,109
My Fault,CRIME,4.2,7100.0,120
Serpent's Path,CRIME,5.8,301.0,112
The Sabarmati Report,CRIME,6.4,25000.0,127
Guns & Moses,CRIME,8.1,51.0,94
King Ivory,CRIME,7.1,76.0,130
Viduthalai Part 2,CRIME,7.8,16000.0,170
Ulajh,CRIME,6.0,24000.0,150
Vettaiyan,CRIME,7.0,40000.0,163
Bloodline Killer,CRIME,4.3,5000.0,105
Maharaj,CRIME,6.5,15000.0,131
The Trainer,CRIME,7.0,58.0,95
The Smile Man,CRIME,7.5,1600.0,122
Cult Killer,CRIME,4.8,2800.0,105
Crescent City,CRIME,3.9,1400.0,103
Reputation,CRIME,9.1,11.0,83
Boundless,CRIME,5.6,2000.0,121
Here Now,CRIME,4.9,462.0,118
Bagheera,CRIME,6.7,7500.0,158
Kingsmen,CRIME,6.3,50.0,72
Drugstore June,CRIME,5.4,1800.0,91
Kill the Jockey,CRIME,6.4,1800.0,96
Dead Wrong,CRIME,3.8,280.0,104
Marmalade,CRIME,6.3,3700.0,99
Bhakshak,CRIME,7.2,7200.0,134
Raayan,CRIME,6.5,11000.0,145
Broken Rage,CRIME,6.1,1500.0,62
Mond,CRIME,7.0,293.0,92
Two to One,CRIME,6.1,795.0,116
Siren,CRIME,6.4,2900.0,154
Dirty Ice Cream,CRIME,4.3,129.0,47
Revolver,CRIME,5.4,909.0,114
Freedom,CRIME,5.9,1400.0,110
Savi,CRIME,6.1,35000.0,126
Auron Mein Kahan Dum Tha,CRIME,6.5,41000.0,150
GTMax,CRIME,5.0,1300.0,100
Citizen of a Kind,CRIME,6.7,868.0,114
Bermondsey Tales: Fall of the Roman Empire,CRIME,4.3,201.0,99
Jailbreak: Love on the Run,CRIME,6.4,3300.0,88
Kahar: Kapla High Council,CRIME,7.0,482.0,102
How to Rob a Bank,CRIME,6.6,4300.0,88
Loverboy: Emoties Uit,CRIME,6.4,538.0,98
The Thundermans Return,CRIME,5.0,1900.0,70
A Place Called Silence,CRIME,6.5,1300.0,119
Seeds,CRIME,4.9,200.0,82
5lbs of Pressure,CRIME,5.2,1700.0,111
Taxali Gate,CRIME,6.5,158.0,95
Ride,CRIME,5.9,408.0,114
Bayamariya Brammai,CRIME,7.6,32.0,88
City Hunter,CRIME,6.3,5700.0,102
Uninvited,CRIME,5.4,113.0,93
Gatao: Like Father Like Son,CRIME,5.7,236.0,131
Bogota: City of the Lost,CRIME,5.4,2000.0,108
Phir Aayi Hasseen Dillruba,CRIME,5.8,6900.0,132
Untamed Royals,CRIME,4.6,652.0,99
Abraham Ozler,CRIME,6.6,4200.0,143
Strictly Confidential,CRIME,2.8,866.0,94
Cry of Silence,CRIME,6.1,80.0,116
Laws of Man,CRIME,5.5,1400.0,98
Strangers,CRIME,4.3,405.0,106
Wanted Man,CRIME,4.8,2600.0,85
She's Got No Name,CRIME,6.9,52.0,150
Who Killed Terrance Brown?,CRIME,7.0,8.0,95
Jönssonligan kommer tillbaka,CRIME,5.9,1500.0,104
Tillu Square,CRIME,6.6,3400.0,137
Sorgavaasal,CRIME,6.6,1400.0,138
Visfot,CRIME,5.7,1200.0,130
The Lockdown,CRIME,4.3,622.0,117
The Notorious Finster,CRIME,4.1,158.0,113
In Youth We Trust,CRIME,6.7,472.0,132
Last Known Location,CRIME,6.1,1400.0,110
Sicilian Letters,CRIME,6.1,809.0,122
Nice Girls,CRIME,4.3,1200.0,92
Scorched Earth,CRIME,6.7,575.0,101
Green Bones,CRIME,7.5,228.0,96
Sayara,CRIME,5.7,282.0,98
Danger in the Dorm,CRIME,5.0,158.0,86
Belle,CRIME,5.7,88.0,100
10 Days of a Curious Man,CRIME,5.7,1300.0,110
Rakshana,CRIME,5.5,1200.0,139
Hunt the Wicked,CRIME,5.4,129.0,102
The Pee Pee Poo Poo Man,CRIME,8.2,29.0,79
Case of Kondana,CRIME,5.8,706.0,143
Ferry 2,CRIME,5.6,3900.0,94
Diddy: Summit to Plummet,CRIME,2.3,218.0,60
Accident or Conspiracy: Godhra,CRIME,7.4,786.0,133
Bangkok Dog,CRIME,4.8,232.0,85
Roadkill,CRIME,3.7,689.0,90
Scapegoat,CRIME,6.2,29.0,85
Faultline,CRIME,4.6,126.0,92
Risky Business,CRIME,6.9,183.0,107
Sheriff,CRIME,6.9,1200.0,133
Biggest Heist Ever,CRIME,6.1,1500.0,85
Shoutai,CRIME,6.8,648.0,120
Troll Factory,CRIME,5.8,485.0,109
Kaulayaw,CRIME,4.1,175.0,95
Shakhahaari,CRIME,7.5,1300.0,145
Hellhound,CRIME,4.3,514.0,103
Mission: Cross,CRIME,6.1,2600.0,105
Crisis Negotiators,CRIME,6.7,732.0,120
Cookster: The Darkest Days,CRIME,8.2,41.0,119
Snatched,CRIME,6.1,525.0,101
Sous écrous,CRIME,5.4,94.0,111
Mr. Bachchan,CRIME,3.6,5300.0,150
Little Jaffna,CRIME,6.7,154.0,100
The Plot,CRIME,4.8,391.0,100
Matka,CRIME,4.7,594.0,156
Untold: The Murder of Air McNair,CRIME,5.6,2100.0,57
Nunakuzhi,CRIME,6.8,3100.0,125
Borderless Fog,CRIME,5.2,1300.0,110
They Called Him Mostly Harmless,CRIME,5.9,3200.0,89
Anand Sreebala,CRIME,6.6,2400.0,134
The Kingdom,CRIME,6.6,127.0,133
An American Bombing: The Road to April 19th,CRIME,6.8,921.0,107
High Forces,CRIME,5.8,550.0,119
Havnaa,CRIME,7.1,275.0,110
